section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
FLT4-4-2000strokes_E1_RE_SEC-07_local,1,1.0,2.0,65.3,63.7,77.6
FLT4-4-2000strokes_E1_RE_SEC-07_local,2,2.0,2.0,62.4,59.4,59.4
FLT4-4-2000strokes_E1_RE_SEC-07_local,3,3.0,2.0,61.3,59.1,58.9
FLT4-4-2000strokes_E1_RE_SEC-07_local,4,4.0,2.0,60.8,58.8,59.0
FLT4-4-2000strokes_E1_RE_SEC-07_local,5,5.0,2.0,60.3,58.4,58.4
FLT4-4-2000strokes_E1_RE_SEC-07_local,6,6.0,2.0,60.0,58.9,58.4
FLT4-4-2000strokes_E1_RE_SEC-07_local,7,7.0,2.0,59.9,59.0,58.7
FLT4-4-2000strokes_E1_RE_SEC-07_local,8,8.0,2.0,59.7,58.6,59.2
FLT4-4-2000strokes_E1_RE_SEC-07_local,9,9.0,2.0,59.6,58.9,58.5
FLT4-4-2000strokes_E1_RE_SEC-07_local,10,10.0,2.0,59.5,59.1,59.0
FLT4-4-2000strokes_E1_RE_SEC-07_local,11,11.0,2.0,59.5,58.9,59.0
