section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
FLT4-13-2000strokes_E1_RE_SEC-07_local,1,1.0,2.0,66.3,62.0,72.5
FLT4-13-2000strokes_E1_RE_SEC-07_local,2,2.0,2.0,61.6,56.1,55.4
FLT4-13-2000strokes_E1_RE_SEC-07_local,3,3.0,2.0,59.4,55.8,56.5
FLT4-13-2000strokes_E1_RE_SEC-07_local,4,4.0,2.0,58.6,56.5,56.5
FLT4-13-2000strokes_E1_RE_SEC-07_local,5,5.0,2.0,58.2,56.3,56.3
FLT4-13-2000strokes_E1_RE_SEC-07_local,6,6.0,2.0,57.9,56.2,56.4
FLT4-13-2000strokes_E1_RE_SEC-07_local,7,7.0,2.0,57.6,55.9,55.9
FLT4-13-2000strokes_E1_RE_SEC-07_local,8,8.0,2.0,57.4,55.9,55.6
FLT4-13-2000strokes_E1_RE_SEC-07_local,9,9.0,2.0,57.2,56.4,56.4
FLT4-13-2000strokes_E1_RE_SEC-07_local,10,10.0,2.0,57.2,56.4,56.4
FLT4-13-2000strokes_E1_RE_SEC-07_local,11,11.0,2.0,57.1,57.4,57.3
