section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
FLT4-9-50strokes_E1_RE_SEC-01_local,1,1.0,2.0,66.2,64.0,77.8
FLT4-9-50strokes_E1_RE_SEC-01_local,2,2.0,2.0,63.3,59.9,60.1
FLT4-9-50strokes_E1_RE_SEC-01_local,3,3.0,2.0,61.9,59.0,58.8
FLT4-9-50strokes_E1_RE_SEC-01_local,4,4.0,2.0,61.2,59.2,59.3
FLT4-9-50strokes_E1_RE_SEC-01_local,5,5.0,2.0,60.8,58.9,58.9
FLT4-9-50strokes_E1_RE_SEC-01_local,6,6.0,2.0,60.4,58.2,58.1
FLT4-9-50strokes_E1_RE_SEC-01_local,7,7.0,2.0,60.1,58.5,58.5
FLT4-9-50strokes_E1_RE_SEC-01_local,8,8.0,2.0,59.9,58.8,58.9
FLT4-9-50strokes_E1_RE_SEC-01_local,9,9.0,2.0,59.8,59.2,59.3
FLT4-9-50strokes_E1_RE_SEC-01_local,10,10.0,2.0,59.8,60.3,59.4
FLT4-9-50strokes_E1_RE_SEC-01_local,11,11.0,2.0,59.9,59.8,62.6
