section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
FLT4-7-1000strokes_E1_RE_SEC-03_local,1,1.0,2.0,66.6,64.6,79.1
FLT4-7-1000strokes_E1_RE_SEC-03_local,2,2.0,2.0,63.6,60.7,60.7
FLT4-7-1000strokes_E1_RE_SEC-03_local,3,3.0,2.0,62.6,59.8,60.0
FLT4-7-1000strokes_E1_RE_SEC-03_local,4,4.0,2.0,61.7,59.4,59.3
FLT4-7-1000strokes_E1_RE_SEC-03_local,5,5.0,2.0,61.3,59.4,59.3
FLT4-7-1000strokes_E1_RE_SEC-03_local,6,6.0,2.0,60.9,59.8,59.6
FLT4-7-1000strokes_E1_RE_SEC-03_local,7,7.0,2.0,60.8,59.3,59.2
FLT4-7-1000strokes_E1_RE_SEC-03_local,8,8.0,2.0,60.5,58.5,59.0
FLT4-7-1000strokes_E1_RE_SEC-03_local,9,9.0,2.0,60.3,59.3,59.1
FLT4-7-1000strokes_E1_RE_SEC-03_local,10,10.0,2.0,60.3,59.9,60.0
