section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
FLT4-15-50strokes_E1_RE_SEC-04_local,1,1.0,2.0,73.0,66.7,76.1
FLT4-15-50strokes_E1_RE_SEC-04_local,2,2.0,2.0,66.0,59.8,60.0
FLT4-15-50strokes_E1_RE_SEC-04_local,3,3.0,2.0,63.8,59.2,59.0
FLT4-15-50strokes_E1_RE_SEC-04_local,4,4.0,2.0,62.5,59.2,59.5
FLT4-15-50strokes_E1_RE_SEC-04_local,5,5.0,2.0,61.9,59.1,59.0
FLT4-15-50strokes_E1_RE_SEC-04_local,6,6.0,2.0,61.4,58.5,58.4
FLT4-15-50strokes_E1_RE_SEC-04_local,7,7.0,2.0,60.9,58.7,58.6
FLT4-15-50strokes_E1_RE_SEC-04_local,8,8.0,2.0,60.7,58.8,58.8
FLT4-15-50strokes_E1_RE_SEC-04_local,9,9.0,2.0,60.4,59.5,59.1
FLT4-15-50strokes_E1_RE_SEC-04_local,10,10.0,2.0,60.4,60.0,60.0
FLT4-15-50strokes_E1_RE_SEC-04_local,11,11.0,2.0,60.3,54.7,59.7
