section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
FLT4-8-1000strokes_E1_RE_SEC-07_local,1,1.0,2.0,66.8,64.8,73.4
FLT4-8-1000strokes_E1_RE_SEC-07_local,2,2.0,2.0,63.6,60.1,60.8
FLT4-8-1000strokes_E1_RE_SEC-07_local,3,3.0,2.0,62.3,58.9,58.9
FLT4-8-1000strokes_E1_RE_SEC-07_local,4,4.0,2.0,61.3,58.5,58.5
FLT4-8-1000strokes_E1_RE_SEC-07_local,5,5.0,2.0,60.7,58.5,58.7
FLT4-8-1000strokes_E1_RE_SEC-07_local,6,6.0,2.0,60.4,58.6,58.5
FLT4-8-1000strokes_E1_RE_SEC-07_local,7,7.0,2.0,60.1,58.7,58.8
FLT4-8-1000strokes_E1_RE_SEC-07_local,8,8.0,2.0,59.9,58.6,58.6
FLT4-8-1000strokes_E1_RE_SEC-07_local,9,9.0,2.0,59.8,58.8,58.7
FLT4-8-1000strokes_E1_RE_SEC-07_local,10,10.0,2.0,59.7,59.1,59.1
FLT4-8-1000strokes_E1_RE_SEC-07_local,11,11.0,2.0,59.7,59.8,59.3
