section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
FLT4-13-1000strokes_E1_RE_SEC-02_local,1,1.0,2.0,65.2,62.4,74.0
FLT4-13-1000strokes_E1_RE_SEC-02_local,2,2.0,2.0,61.3,57.6,57.5
FLT4-13-1000strokes_E1_RE_SEC-02_local,3,3.0,2.0,60.0,57.1,57.0
FLT4-13-1000strokes_E1_RE_SEC-02_local,4,4.0,2.0,59.2,56.9,57.0
FLT4-13-1000strokes_E1_RE_SEC-02_local,5,5.0,2.0,58.8,57.1,57.0
FLT4-13-1000strokes_E1_RE_SEC-02_local,6,6.0,2.0,58.5,57.1,57.1
FLT4-13-1000strokes_E1_RE_SEC-02_local,7,7.0,2.0,58.3,55.3,54.8
FLT4-13-1000strokes_E1_RE_SEC-02_local,8,8.0,2.0,57.7,54.8,55.1
FLT4-13-1000strokes_E1_RE_SEC-02_local,9,9.0,2.0,57.5,56.3,56.2
FLT4-13-1000strokes_E1_RE_SEC-02_local,10,10.0,2.0,57.4,56.4,56.3
FLT4-13-1000strokes_E1_RE_SEC-02_local,11,11.0,2.0,57.3,56.5,56.4
