section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
FLT4-13-1000strokes_E1_RE_SEC-05_local,1,1.0,2.0,64.3,62.0,72.8
FLT4-13-1000strokes_E1_RE_SEC-05_local,2,2.0,2.0,61.1,57.3,56.9
FLT4-13-1000strokes_E1_RE_SEC-05_local,3,3.0,2.0,59.6,56.5,56.4
FLT4-13-1000strokes_E1_RE_SEC-05_local,4,4.0,2.0,58.8,56.5,56.7
FLT4-13-1000strokes_E1_RE_SEC-05_local,5,5.0,2.0,58.4,56.6,56.4
FLT4-13-1000strokes_E1_RE_SEC-05_local,6,6.0,2.0,58.0,56.1,55.9
FLT4-13-1000strokes_E1_RE_SEC-05_local,7,7.0,2.0,57.7,55.3,55.5
FLT4-13-1000strokes_E1_RE_SEC-05_local,8,8.0,2.0,57.4,55.6,56.0
FLT4-13-1000strokes_E1_RE_SEC-05_local,9,9.0,2.0,57.3,56.5,56.2
FLT4-13-1000strokes_E1_RE_SEC-05_local,10,10.0,2.0,57.2,56.2,56.3
FLT4-13-1000strokes_E1_RE_SEC-05_local,11,11.0,2.0,57.1,56.3,56.2
