section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
FLT4-13-1000strokes_E1_RE_SEC-04_local,1,1.0,2.0,64.0,61.2,74.1
FLT4-13-1000strokes_E1_RE_SEC-04_local,2,2.0,2.0,60.7,57.3,57.3
FLT4-13-1000strokes_E1_RE_SEC-04_local,3,3.0,2.0,59.4,56.8,56.9
FLT4-13-1000strokes_E1_RE_SEC-04_local,4,4.0,2.0,58.7,56.9,56.8
FLT4-13-1000strokes_E1_RE_SEC-04_local,5,5.0,2.0,58.4,56.5,56.7
FLT4-13-1000strokes_E1_RE_SEC-04_local,6,6.0,2.0,58.0,55.8,55.7
FLT4-13-1000strokes_E1_RE_SEC-04_local,7,7.0,2.0,57.6,56.3,56.3
FLT4-13-1000strokes_E1_RE_SEC-04_local,8,8.0,2.0,57.6,56.3,56.4
FLT4-13-1000strokes_E1_RE_SEC-04_local,9,9.0,2.0,57.4,55.4,55.4
FLT4-13-1000strokes_E1_RE_SEC-04_local,10,10.0,2.0,57.1,56.0,56.3
FLT4-13-1000strokes_E1_RE_SEC-04_local,11,11.0,2.0,57.1,56.6,56.5
