section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
LYDIT4-6-2000strokes_E1_RE_SEC-01_local,1,1.0,2.0,71.6,67.3,70.9
LYDIT4-6-2000strokes_E1_RE_SEC-01_local,2,2.0,2.0,66.1,60.7,60.9
LYDIT4-6-2000strokes_E1_RE_SEC-01_local,3,3.0,2.0,64.1,60.2,59.9
LYDIT4-6-2000strokes_E1_RE_SEC-01_local,4,4.0,2.0,63.1,60.1,60.0
LYDIT4-6-2000strokes_E1_RE_SEC-01_local,5,5.0,2.0,62.5,60.0,60.3
LYDIT4-6-2000strokes_E1_RE_SEC-01_local,6,6.0,2.0,62.1,60.1,59.8
LYDIT4-6-2000strokes_E1_RE_SEC-01_local,7,7.0,2.0,61.8,59.4,59.7
LYDIT4-6-2000strokes_E1_RE_SEC-01_local,8,8.0,2.0,61.4,59.5,60.1
LYDIT4-6-2000strokes_E1_RE_SEC-01_local,9,9.0,2.0,61.3,60.3,60.0
LYDIT4-6-2000strokes_E1_RE_SEC-01_local,10,10.0,2.0,61.2,60.6,60.2
LYDIT4-6-2000strokes_E1_RE_SEC-01_local,11,11.0,2.0,61.2,47.9,52.2
