section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
FLT4-11-1000strokes_E1_RE_SEC-04_local,1,1.0,2.0,62.7,62.0,75.2
FLT4-11-1000strokes_E1_RE_SEC-04_local,2,2.0,2.0,60.6,58.5,58.7
FLT4-11-1000strokes_E1_RE_SEC-04_local,3,3.0,2.0,59.8,58.2,58.1
FLT4-11-1000strokes_E1_RE_SEC-04_local,4,4.0,2.0,59.4,57.8,57.3
FLT4-11-1000strokes_E1_RE_SEC-04_local,5,5.0,2.0,59.0,57.3,58.5
FLT4-11-1000strokes_E1_RE_SEC-04_local,6,6.0,2.0,58.7,57.6,56.8
FLT4-11-1000strokes_E1_RE_SEC-04_local,7,7.0,2.0,58.6,57.7,57.8
FLT4-11-1000strokes_E1_RE_SEC-04_local,8,8.0,2.0,58.5,57.4,57.4
FLT4-11-1000strokes_E1_RE_SEC-04_local,9,9.0,2.0,58.4,58.3,59.0
FLT4-11-1000strokes_E1_RE_SEC-04_local,10,10.0,2.0,58.4,57.6,57.0
FLT4-11-1000strokes_E1_RE_SEC-04_local,11,11.0,2.0,58.2,59.2,59.4
