section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
LYDIT4-1-1000strokes_E1_RE_SEC-02_local,1,1.0,2.0,66.3,64.6,74.0
LYDIT4-1-1000strokes_E1_RE_SEC-02_local,2,2.0,2.0,63.4,60.1,60.3
LYDIT4-1-1000strokes_E1_RE_SEC-02_local,3,3.0,2.0,62.1,59.7,59.7
LYDIT4-1-1000strokes_E1_RE_SEC-02_local,4,4.0,2.0,61.5,60.0,60.1
LYDIT4-1-1000strokes_E1_RE_SEC-02_local,5,5.0,2.0,61.2,59.8,59.9
LYDIT4-1-1000strokes_E1_RE_SEC-02_local,6,6.0,2.0,61.0,59.7,59.5
LYDIT4-1-1000strokes_E1_RE_SEC-02_local,7,7.0,2.0,60.8,59.7,59.8
LYDIT4-1-1000strokes_E1_RE_SEC-02_local,8,8.0,2.0,60.6,59.5,59.7
LYDIT4-1-1000strokes_E1_RE_SEC-02_local,9,9.0,2.0,60.5,59.9,59.9
LYDIT4-1-1000strokes_E1_RE_SEC-02_local,10,10.0,2.0,60.5,59.9,60.2
LYDIT4-1-1000strokes_E1_RE_SEC-02_local,11,11.0,2.0,60.4,44.8,49.4
