section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
FLT4-12-1000strokes_E1_RE_SEC-07_local,1,1.0,2.0,61.2,59.7,76.8
FLT4-12-1000strokes_E1_RE_SEC-07_local,2,2.0,2.0,58.8,57.0,57.1
FLT4-12-1000strokes_E1_RE_SEC-07_local,3,3.0,2.0,58.4,57.5,57.5
FLT4-12-1000strokes_E1_RE_SEC-07_local,4,4.0,2.0,58.1,57.2,57.2
FLT4-12-1000strokes_E1_RE_SEC-07_local,5,5.0,2.0,57.9,57.3,57.4
FLT4-12-1000strokes_E1_RE_SEC-07_local,6,6.0,2.0,57.9,57.8,57.6
FLT4-12-1000strokes_E1_RE_SEC-07_local,7,7.0,2.0,57.9,56.8,57.3
FLT4-12-1000strokes_E1_RE_SEC-07_local,8,8.0,2.0,57.6,56.2,55.5
FLT4-12-1000strokes_E1_RE_SEC-07_local,9,9.0,2.0,57.5,57.4,57.8
FLT4-12-1000strokes_E1_RE_SEC-07_local,10,10.0,2.0,57.6,57.9,57.6
FLT4-12-1000strokes_E1_RE_SEC-07_local,11,11.0,2.0,57.6,43.0,50.9
