section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
FLT4-12-1000strokes_E1_RE_SEC-08_local,1,1.0,2.0,61.8,60.3,75.2
FLT4-12-1000strokes_E1_RE_SEC-08_local,2,2.0,2.0,59.2,57.6,58.0
FLT4-12-1000strokes_E1_RE_SEC-08_local,3,3.0,2.0,58.9,57.7,57.8
FLT4-12-1000strokes_E1_RE_SEC-08_local,4,4.0,2.0,58.4,57.1,56.9
FLT4-12-1000strokes_E1_RE_SEC-08_local,5,5.0,2.0,58.2,57.7,57.6
FLT4-12-1000strokes_E1_RE_SEC-08_local,6,6.0,2.0,58.2,57.7,57.7
FLT4-12-1000strokes_E1_RE_SEC-08_local,7,7.0,2.0,58.0,57.4,57.1
FLT4-12-1000strokes_E1_RE_SEC-08_local,8,8.0,2.0,58.0,57.2,56.7
FLT4-12-1000strokes_E1_RE_SEC-08_local,9,9.0,2.0,57.8,57.4,57.9
FLT4-12-1000strokes_E1_RE_SEC-08_local,10,10.0,2.0,57.9,58.0,57.9
FLT4-12-1000strokes_E1_RE_SEC-08_local,11,11.0,2.0,57.9,41.1,49.7
