section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
LYDIT4-11-1000strokes_E1_RE_SEC-02_local,1,1.0,2.0,63.9,63.2,75.4
LYDIT4-11-1000strokes_E1_RE_SEC-02_local,2,2.0,2.0,62.5,60.3,59.6
LYDIT4-11-1000strokes_E1_RE_SEC-02_local,3,3.0,2.0,61.4,59.9,60.0
LYDIT4-11-1000strokes_E1_RE_SEC-02_local,4,4.0,2.0,61.2,60.1,60.1
LYDIT4-11-1000strokes_E1_RE_SEC-02_local,5,5.0,2.0,60.9,59.8,60.1
LYDIT4-11-1000strokes_E1_RE_SEC-02_local,6,6.0,2.0,60.7,59.4,59.4
LYDIT4-11-1000strokes_E1_RE_SEC-02_local,7,7.0,2.0,60.5,59.6,59.8
LYDIT4-11-1000strokes_E1_RE_SEC-02_local,8,8.0,2.0,60.4,59.7,59.4
LYDIT4-11-1000strokes_E1_RE_SEC-02_local,9,9.0,2.0,60.3,59.2,59.1
LYDIT4-11-1000strokes_E1_RE_SEC-02_local,10,10.0,2.0,60.2,62.1,60.5
