section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
FLT4-11-2000strokes_E1_RE_SEC-09_local,1,1.0,2.0,64.6,62.1,76.5
FLT4-11-2000strokes_E1_RE_SEC-09_local,2,2.0,2.0,61.4,58.3,58.1
FLT4-11-2000strokes_E1_RE_SEC-09_local,3,3.0,2.0,60.4,57.4,57.1
FLT4-11-2000strokes_E1_RE_SEC-09_local,4,4.0,2.0,59.4,57.4,57.3
FLT4-11-2000strokes_E1_RE_SEC-09_local,5,5.0,2.0,59.2,58.2,58.4
FLT4-11-2000strokes_E1_RE_SEC-09_local,6,6.0,2.0,59.0,58.0,57.9
FLT4-11-2000strokes_E1_RE_SEC-09_local,7,7.0,2.0,58.9,58.1,57.9
FLT4-11-2000strokes_E1_RE_SEC-09_local,8,8.0,2.0,58.8,58.0,57.7
FLT4-11-2000strokes_E1_RE_SEC-09_local,9,9.0,2.0,58.7,57.8,57.9
FLT4-11-2000strokes_E1_RE_SEC-09_local,10,10.0,2.0,58.6,57.6,57.7
FLT4-11-2000strokes_E1_RE_SEC-09_local,11,11.0,2.0,58.5,57.6,57.3
